Localidad:ANTONIO_NARINO,Votacion:
P_Liberal,3308
P_Conservador,1735
P_Opcion_Ciudadana,554
P_Cambio_Radical,3712
P_Alianza_Verde,9563
P_MIRA,3065
P_de_la_U,2303
Polo,3405
P_Centro_Democratico,8614
P_SOMOS,421
FARC,276
Colombia_Justa_Libres,2422
SI_SE_PUEDE,25
Union_con_Fortaleza,26
Todos_somos_Colombia,194
Coalicion_Decencia,5537
Voto_Blanco_Nacional,4289
AICO,26
ASI,37
MAIS,178
SOBERANIA,4
MIA,17
RenovacionEtnica,29
CASIYOUREN,3
Voto_Blanco_Indigena,1546
Nulos,2788
No_Marcados,963
Potencial Votantes,107830
Referencia:, http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_015_XX_XX_X_8127_F_49.pdf
