Localidad:BOSA,Votacion:
P_Liberal,10847
P_Conservador,5947
P_Opcion_Ciudadana,2759
P_Cambio_Radical,13133
P_Alianza_Verde,20318
P_MIRA,10801
P_de_la_U,8485
Polo,9787
P_Centro_Democratico,22521
P_SOMOS,1508
FARC,773
Colombia_Justa_Libres,8869
SI_SE_PUEDE,156
Union_con_Fortaleza,331
Todos_somos_Colombia,748
Coalicion_Decencia,21913
Voto_Blanco_Nacional,15942
AICO,129
ASI,145
MAIS,1079
SOBERANIA,18
MIA,55
RenovacionEtnica,85
CASIYOUREN,21
Voto_Blanco_Indigena,7002
Nulos,16235
No_Marcados,5929
Potencial Votantes,395687
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_007_XX_XX_X_8119_F_49.pdf
